time,step,trainLoss
2022-05-11 11:34:24.782536,Step[6],0.220316
2022-05-11 11:34:25.205411,Step[7],0.220316
2022-05-11 11:34:25.545535,Step[8],0.220316
2022-05-11 11:34:25.827784,Step[9],0.220316
2022-05-11 11:34:26.104015,Step[10],0.220316
2022-05-11 11:34:26.589721,Step[11],0.220316
2022-05-11 11:34:26.898897,Step[12],0.220316
2022-05-11 11:34:27.180148,Step[13],0.220316
2022-05-11 11:34:27.604018,Step[14],0.220316
2022-05-11 11:34:27.933175,Step[15],0.220316
2022-05-11 11:34:28.220378,Step[16],0.220316
2022-05-11 11:34:28.568450,Step[17],0.220316
2022-05-11 11:34:29.022273,Step[18],0.220316
2022-05-11 11:34:29.305519,Step[19],0.220316
2022-05-11 11:34:29.724371,Step[0],0.258364
2022-05-11 11:34:30.180156,Step[1],0.258364
2022-05-11 11:34:30.450437,Step[2],0.258364
2022-05-11 11:34:30.736714,Step[3],0.258364
2022-05-11 11:34:31.180109,Step[4],0.258364
2022-05-11 11:34:31.517264,Step[5],0.258364
2022-05-11 11:34:31.781745,Step[6],0.258364
2022-05-11 11:34:32.089691,Step[7],0.258364
2022-05-11 11:34:32.523534,Step[8],0.258364
2022-05-11 11:34:32.799166,Step[9],0.258364
2022-05-11 11:34:33.056108,Step[10],0.258364
2022-05-11 11:34:33.461028,Step[11],0.258364
2022-05-11 11:34:33.782173,Step[12],0.258364
2022-05-11 11:34:34.062426,Step[13],0.258364
2022-05-11 11:34:34.323731,Step[14],0.258364
2022-05-11 11:34:34.780514,Step[15],0.258364
2022-05-11 11:34:35.066751,Step[16],0.258364
2022-05-11 11:34:35.345010,Step[17],0.258364
2022-05-11 11:34:35.678123,Step[18],0.258364
2022-05-11 11:34:36.076062,Step[19],0.258364
2022-05-11 11:34:36.474027,Step[0],0.023775
2022-05-11 11:34:36.759246,Step[1],0.023775
2022-05-11 11:34:37.227993,Step[2],0.023775
2022-05-11 11:34:37.492289,Step[3],0.023775
2022-05-11 11:34:37.785507,Step[4],0.023775
2022-05-11 11:34:38.210377,Step[5],0.023775
2022-05-11 11:34:38.588370,Step[6],0.023775
2022-05-11 11:34:38.939435,Step[7],0.023775
2022-05-11 11:34:39.425320,Step[8],0.023775
2022-05-11 11:34:39.762423,Step[9],0.023775
2022-05-11 11:34:40.047663,Step[10],0.023775
2022-05-11 11:34:40.521399,Step[11],0.023775
2022-05-11 11:34:40.880476,Step[12],0.023775
2022-05-11 11:34:41.148729,Step[13],0.023775
2022-05-11 11:34:41.438956,Step[14],0.023775
2022-05-11 11:34:41.940653,Step[15],0.023775
2022-05-11 11:34:42.205912,Step[16],0.023775
2022-05-11 11:34:42.480225,Step[17],0.023775
2022-05-11 11:34:42.939957,Step[18],0.023775
2022-05-11 11:34:43.268119,Step[19],0.023775
2022-05-11 11:34:43.687965,Step[0],0.138121
2022-05-11 11:34:44.109841,Step[1],0.138121
2022-05-11 11:34:44.452953,Step[2],0.138121
2022-05-11 11:34:44.732217,Step[3],0.138121
2022-05-11 11:34:45.131121,Step[4],0.138121
2022-05-11 11:34:45.484181,Step[5],0.138121
2022-05-11 11:34:45.768457,Step[6],0.138121
2022-05-11 11:34:46.059682,Step[7],0.138121
2022-05-11 11:34:46.480524,Step[8],0.138121
2022-05-11 11:34:46.789700,Step[9],0.138121
2022-05-11 11:34:47.073977,Step[10],0.138121
2022-05-11 11:34:47.339238,Step[11],0.138121
2022-05-11 11:34:47.805993,Step[12],0.138121
2022-05-11 11:34:48.087280,Step[13],0.138121
2022-05-11 11:34:48.370490,Step[14],0.138121
2022-05-11 11:34:48.799347,Step[15],0.138121
2022-05-11 11:34:49.134494,Step[16],0.138121
2022-05-11 11:34:49.393763,Step[17],0.138121
2022-05-11 11:34:49.669031,Step[18],0.138121
2022-05-11 11:34:50.189644,Step[19],0.138121
2022-05-11 11:34:50.637483,Step[0],0.194561
2022-05-11 11:34:50.907731,Step[1],0.194561
2022-05-11 11:34:51.375483,Step[2],0.194561
2022-05-11 11:34:51.660772,Step[3],0.194561
2022-05-11 11:34:51.975918,Step[4],0.194561
2022-05-11 11:34:52.433665,Step[5],0.194561
2022-05-11 11:34:52.733868,Step[6],0.194561
2022-05-11 11:34:53.015117,Step[7],0.194561
2022-05-11 11:34:53.463920,Step[8],0.194561
2022-05-11 11:34:53.793044,Step[9],0.194561
2022-05-11 11:34:54.074330,Step[10],0.194561
2022-05-11 11:34:54.360532,Step[11],0.194561
2022-05-11 11:34:54.813324,Step[12],0.194561
2022-05-11 11:34:55.092618,Step[13],0.194561
2022-05-11 11:34:55.361865,Step[14],0.194561
2022-05-11 11:34:55.779751,Step[15],0.194561
2022-05-11 11:34:56.100574,Step[16],0.194561
2022-05-11 11:34:56.384819,Step[17],0.194561
2022-05-11 11:34:56.666101,Step[18],0.194561
2022-05-11 11:34:57.119860,Step[19],0.194561
